G1 0-1
G2 0-2
G3 0-3
G4 0-4
G5 0-5
G6 0-6
G7 0-7
Ab1 1-1
Ab2 1-2
Ab3 1-3
Ab4 1-4
Ab5 1-5
Ab6 1-6
Ab7 1-7
A0 2-0
A1 2-1
A2 2-2
A3 2-3
A4 2-4
A5 2-5
A6 2-6
A7 2-7
Bb0 3-0
Bb1 3-1
Bb2 3-2
Bb3 3-3
Bb4 3-4
Bb5 3-5
Bb6 3-6
Bb7 3-7
B0 4-0
B1 4-1
B2 4-2
B3 4-3
B4 4-4
B5 4-5
B6 4-6
B7 4-7
C1 5-1
C2 5-2
C3 5-3
C4 5-4
C5 5-5
C6 5-6
C7 5-7
Db1 6-1
Db2 6-2
Db3 6-3
Db4 6-4
Db5 6-5
Db6 6-6
Db7 6-7
D1 7-1
D2 7-2
D3 7-3
D4 7-4
D5 7-5
D6 7-6
D7 7-7
Eb1 8-1
Eb2 8-2
Eb3 8-3
Eb4 8-4
Eb5 8-5
Eb6 8-6
Eb7 8-7
E1 9-1
E2 9-2
E3 9-3
E4 9-4
E5 9-5
E6 9-6
E7 9-7
F1 10-1
F2 10-2
F3 10-3
F4 10-4
F5 10-5
F6 10-6
F7 10-7
Gb1 11-1
Gb2 11-2
Gb3 11-3
Gb4 11-4
Gb5 11-5
Gb6 11-6
Gb7 11-7
